Road_Name,Road_Number
PYRAMID LN,76730
QUEBEC WY,9590
RAILROAD AV,88750
RAINBOW DR (GLENHAVEN),43029
RAINBOW RD,21030
RALEIGH DR,9800
RASPBERRY DR,58910
RATHBONE RD,31340
RAYHORST RD,17000
RD #08860 (N OF CEDAR PARK DR N),8860
RD #08940 (E OFF JONNA DR),8940
RD #08970 (E OFF JONNA DR),8970
RD #08990 (N OFF REX ST),8990
RD #09050 (N OFF REX ST),9050
RD #09060 (S OFF REX ST),9060
RD #09200 (W OFF GREENWOOD DR),9200
RD #88500 (NE OFF AZURE WY),88500
RD #88590 (S OFF AZURE WY),88590
RD #88640 (W OFF GOLDEN VALLEY DR),88640
RD #88690 (SE OFF LILAC LN),88690
RD #88720 (S OFF CIMARRON WY),88720
RD #88740 (SE OFF SHAMROCK RD),88740
RD #88760 (W OFF BLUEBELL CT),88760
RD #88880 (E OFF SHAMROCK RD),88880
RD #88970 (N OFF SAXON RD),88970
RD #89000 (S OFF BELLWOOD DR),89000
RD #89820 (N OF POTTER RD),89820
RD #89870 (NE OFF CORNELL CREEK RD),89870
REDWOOD AV,71280
REED WY (GLENHAVEN),43023
REESE HILL RD,88280
REGINA WY,9430
REVEILLE ST,40940
REX ST,9040
RICHARD WY,25330
RICHMOND CRESCENT,25420
RICHMOND PARK RD,25421
RIDGEVIEW DR (GLENHAVEN),43021
RIDGEWAY PL (GLENHAVEN),43013
RIDGEWOOD AV,45540
RITTER RD,76970
RIVER RD,31420
ROBBY CT (TWEED TWENTY),46519
ROBERTS RD,56210
ROBERTSON RD,13990
ROBINS PLACE,58920
ROB-LEE DR,23760
ROCK CRAB DR,23525
ROCK RD,67920
ROEDER LN,59320
ROGER RD (N OFF PORTAL WY),26570
ROGER RD (S OFF HOIER),34390
ROMA CT,46550
ROMA RD,46506
RONALD DR,34590
ROOSEVELT WY,8200
ROSS RD,8790
ROSS RD (W OFF BAKERVIEW E),55220
ROTHENBUHLER RD,89080
ROY RD,41400
ROYER ST,88630
RUBY PL (EMERALD Lk),46719
RURAL AV,72350
RUSSEL RD (GLACIER SPRINGS),85017
RUSTON WY,46250
RUTH RD,12600
RUTSATZ RD,89902
RUTSATZ RD (N OFF SR 9),89901
SAANICH AV (SANDY PT HTS),15721
SAGEBRUSH LN,26110
SALAKANUM WY,56050
SALTSPRING DR (SALT SPRING),14811
SAMISH WAY,44060
SAND RD,45890
SANDCASTLE DR,23516
SANDERS CT,9810
SANDY CIRCLE,70870
SANTA FE TRAIL (PARADISE LKS),88121
SANTA FE TRAIL (PARADISE LKS),88122
SAPPHIRE TRL (EMERALD LK),46718
SARA CT,46480
SATURNA PL,8680
SATURNA PL E,8690
SAXON RD,88980
SCENIC AV (LUMMI ISLAND),10350
SCENIC AV (S OFF LAKEWAY DR),45430
SCENIC PL,10330
SCHOOL ST,88700
SCHORNBUSH RD,89840
SCHULTZ DR,76550
SCOTT PL (GLACIER SPRINGS),85019
SCOTT RD,14400
SCUTVICK RD,68700
SEACREST DR,10950
SEAFAIR CT (HARBORVIEW),26183
SEAFAIR DR (HARBORVIEW),26181
SEAFAIR DR (HARBORVIEW),26188
SEALUND RD,66530
SEASHELL WY,23514
SEAVIEW CIRCLE DR,71110
SEAVIEW DR (BIRCH BAY AREA),25510
SEAVUE RD,25300
SECOND ST (MAPLE FALLS),89770
SELDER RD,25200
SEMIAHMOO DR,20250
SEYMOUR PL,9370
SHADY GLEN AVE,9170
SHADY LN,72510
SHALLOW SHORE RD,41610
SHAMROCK RD (PARADISE LKS),88730
SHANER LN (PARADISE PARK),76215
SHAW CRESCENT,2040
SHAW CT (SANDY PT HTS),15716
SHAW CT (SE OFF N RED RIVER),15717
SHAW RD (LAUREL GROVE),76223
SHERMAN ST,69060
SHINTAFFER CONNECTOR,26350
SHINTAFFER RD,26310
SHIPYARD RD,26880
SHORE LN,15300
SHOREWOOD LN (KEL BAY),13320
SHORT WY (GLENHAVEN),43039
SILVER LAKE RD,86040
SILVER LN,71160
SILVER OAK CT,46870
SILVER SPRUCE WY (PARADISE LKS),88870
SILVERADO CT E,53720
SILVERADO CT W,53710
SILVERADO DR,53700
SILVES CT,56020
SIMUNDSON RD,8170
SINCLAIR DR (SANDY PT HTS),15726
SIPER RD,65410
SKAGIT ST,72460
SKYLINE DR,34560
SKYVUE RD,25240
SLATER RD,14760
SLOTEMAKER RD,61430
TELEGRAPH RD N,66610
TELLER RD,8930
TELSTAR RD,23910
TEN MILE RD,56420
TERRACE AV (N OFF HARBORVIEW DR),34720
TERRACE AV N,44200
TERRACE RD,8490
TERRACE ST (S OFF WILLEYS LK RD),31430
TERRILL DR,23770
THETIS WY (SALT SPRING),14800
THIEL RD,59110
THOMPSON RD (GLENHAVEN),43011
THORNTON RD,21560
TILBURY RD,87050
TIMBERLAKE CT,40805
TIMBERLAKE WY,40800
TIMON RD,61620
TIMOTHY CT,46502
TOAD LK RD,46610
TOM RD,63180
TOPAZ CT,47110
TORONTO WY,9410
TORY TRAIL (PARADISE LKS),88100
TRACK ST,46290
TRACY PL,26210
TRAILS END RD,32710
TRAPLINE RD,63010
TREEVUE RD,25220
TRIGG RD,30540
TROUT LK DR,73890
TROUT PL (GLENHAVEN),43014
TRUCK RD,89370
TURKINGTON RD,89200
TUTTLE LN,11370
TWEEDSMUIR CT (TWEED TWENTY),46533
TWILIGHT PL,26204
TWIN LAKES DR,73840
TYEE DR,8620
ULRICH RD,20660
UNICK RD,20860
VAIL DR,76670
VALLEY CT (PARADISE LKS),88890
VALLEY VIEW RD (N OFF BIRCH BAY LYNDEN),23892
VALLEY VIEW RD (N OFF GRANDVIEW RD),23891
VALLEY VIEW RD (N OFF SWEET RD),23893
VAN BUREN RD,63350
VAN DYK RD,55410
VAN HORN LN,72410
VAN WYCK RD (W OF SR 542),54562
VAUGHN AV (GLACIER),89980
VELMA RD,12680
VICTORIA WY,9450
VIEWHAVEN LN,46180
VILLA LN,71150
VINE MAPLE WY (GLENHAVEN),43022
VISSER RD,60680
VISTA CRCL,31390
VISTA DR,23510
VISTA WY,8980
W 58TH LN,73200
W BUENA (VISTA LAMONTE),58714
W DEL RAY (VISTA LAMONTE),58716
WAHL RD,55730
WAHL RD,55740
WALDRON DR (SANDY PT HTS),15711
WALDRON PL,8720
WALDRON PL (SANDY PT HTS),15714
WALDRON PL E,8700
WALDRON RD,72720
WALL ST,45920
WALLTINE RD (E OFF LK TERRELL RD),20261
WALLTINE RD (W OFF ELDER RD),20262
WASCHKE RD (N OFF NORTHWEST),73591
WASCHKE RD (N OFF W SMITH RD),73592
WASHINGTON DR,9140
WATER ST,69130
WATERS RD (OFF CRYSTAL BEACH RD),8761
WATERS RD (OFF SOUTH BEACH RD),8760
WATERVUE WY,25430
WAYSIDE CT,46270
WEASEL RUN,8730
WEIDKAMP RD,3591
WELLING CT (TWEED TWENTY),46584
WELLING RD (TWEED TWENTY),46529
WELLINGTON DR,9780
WEST RD,26690
WEST SHORE DR,11080
WHALEN DR,9230
WHITE RD,32010
WHITECAP RD,40400
WHITEHORN WY,22350
WHITNEY ST,45780
WICKERSHAM RD,88840
WICKLOW PL,9240
WILDWOOD DR (GLENHAVEN),43038
WILLEYS LK RD (E OFF ENTERPRISE RD N),31162
WILLEYS LK RD (E OFF ZELL RD),31161
WILLIAMS RD,8780
WILLIAMS RD (W OFF DEMING RD),69070
WILLOW DR,23720
WILLOW PL (PARADISE LKS),87840
WILLOW SPRINGS WY,73690
WILLOW WOOD AV,71350
WILLOW WY,25480
WILLOWBROOK LN,45480
WILLOWBROOK PL,45470
WINBLASS LN,23150
WINDSOR DR,9070
WINSTON DR,9390
WISER LK RD E,55210
WISER LK RD W,75210
WISER LN,58870
WOODBINE PL,41110
WOODBINE WY,41120
WOODFERN WY,56060
WOODLAKE RD,46830
WOODLAND RD,31250
WOODLYN RD,76910
WOODSHIRE RD,89750
WOOLDRIDGE AV,23660
WYNN RD (N OF MARIETTA AV),72630
WYNN RD (N OF MARINE DR),72270
