Road_Name,Road_Number
COLE RD,65560
COLLEEN CT (GLACIER SPRINGS),85021
COLONY CT,25000
COLUMBIA CRESCENT,8900
COLUMBIA VISTA,8920
COLUMBUS AV,46131
COMFORT LN,24780
CONCHMAN RD,67950
CONIFER DR,30840
CONSTITUTION RD (LUMMI ISLAND),11300
CORDERO DR,45820
CORNELL CREEK RD,89780
CORONADO AV,46110
COTTONWOOD AV (E OF BENNETT DR),71130
COTTONWOOD CT,24640
COTTONWOOD DR (BIRCH BAY DR),24550
COTTONWOOD PL (OFF COTTONWOOD AV),71200
COUNTRY LN,72220
COVE AV (LUMMI ISLAND),10870
COVE RD,40350
CRAPE RD,63750
CREASY RD (E OF PORTAL WY),24422
CREASY RD (I-5 TO STEIN),24423
CREASY RD (W OF VALLEY VIEW),24421
CRESCENT ST,45620
CREST DR,34730
CRESTVIEW RD,31440
CRONK RD,89230
CRYSTAL BEACH RD,8650
CULP CT RD,9120
CURTIS RD,72570
CUSTER SCHOOL RD,24310
CYPRESS DR,73110
CYPRUS WY (SANDY PT HTS),15725
DAHLBERG RD,30750
DANA CIRCLE,10970
DARCY CT,46509
DARDU RD (PARADISE LKS),88001
DAVIT CT,23130
DEAL RD,89300
DEAN DR,31190
DEARBORN AV,26820
DECATUR DR (SANDY PT HTS),15728
DEER CREEK DR (DEER CREEK),73411
DEER RD,8750
DEER TRAIL,25350
DEERHAVEN LN (GLENHAVEN),43017
DEETER RD,67180
DEL BONITA CT (TWEED TWENTY),46582
DEL BONITA WY (TWEED TWENTY),46517
DELANO WY,9420
DELTA LINE RD (E OFF VISTA DR),21313
DELTA LINE RD (N OF B BAY LYNDEN),30892
DELTA LINE RD (S OF ZELL),30891
DEMING RD,68600
DEMOCRAT ST,41040
DEPOT RD,60750
DERBY AV,9920
DESMOND ST,45750
DEWEY RD,55170
DIAMOND LOOP (EMERALD LK),46714
DIANE CIRCLE,9930
DINKEL RD,55570
D'LINDA ST (TWEED TWENTY),46528
DOGWOOD WY,9340
DOLPHIN PL,40300
DOLPHIN WY (PARADISE LKS),88380
DONALD AV,46360
DONALD WY,25270
DONDEE CT,45550
DONEGAL DR N,9250
DORAN RD,88940
DOROTHY WY,12240
DORY CT,23519
DOUBLE DITCH RD,60350
DOUGLAS AV (W OFF YEW),40880
DOUGLAS RD,21000
DRAKE AVE,9760
DRAYTON HARBOR RD,20350
DUTCH HAVEN DR,76650
E BUENA (VISTA LAMONTE),58715
E DEL RAY (VISTA LAMONTE),58717
E PRAIRIE RD,60440
EAGLERIDGE DR,46370
EAGLERIDGE WY,46380
EASON RD,89670
EAST 16TH PL,46570
EAST RD,55870
EAST ST,26250
EASTWOOD RD,89640
EBERLY RD,55820
ECHO LN (GLENHAVEN),43016
EDGEFIELD DR,40960
EDGEWATER LN,46650
EDWARDS DR,8222
EDWARDS DR (E OF MARINE),8221
EL CAMINO (VISTA LAMONTE),58712
EL CAMINO WY (VISTA LAMONTE),58713
ELDER RD,20410
ELDERBERRY LN,25180
ELIZABETH DR,9150
ELK RD,22900
ELLIS AV,66050
ELM CRCL (PARADISE LKS),88960
ELM CT (DEER CREEK),73414
ELM ST,8270
